Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_DECOUP1,.1u,C_0402_1005Metric,-61.04,-68.19,45,bottom
C_DECOUP2,.1u,C_0402_1005Metric,-53.85,-73.14,135,bottom
C_DECOUP3,.1u,C_0402_1005Metric,-49.47,-68.76,-45,bottom
C_DECOUP4,10u,C_0402_1005Metric,-52.88,-60.11,180,bottom
C_UCAP1,1u,C_0402_1005Metric,-52.23,-61.64,90,bottom
D1,PRTR5V0U2X,SOT-143,-50.79,-39.59,0,bottom
D_0,D,D_SOD-123,-44.45,-44.45,90,bottom
D_1,D,D_SOD-123,-68.85,-41.775,90,bottom
D_2,D,D_SOD-123,-87.9,-41.775,90,bottom
D_3,D,D_SOD-123,-106.95,-41.775,90,bottom
D_4,D,D_SOD-123,-126,-41.775,90,bottom
D_5,D,D_SOD-123,-145.05,-41.775,90,bottom
D_6,D,D_SOD-123,-164.1,-41.775,90,bottom
D_7,D,D_SOD-123,-183.15,-41.775,90,bottom
D_8,D,D_SOD-123,-202.2,-41.775,90,bottom
D_9,D,D_SOD-123,-221.25,-41.775,90,bottom
D_10,D,D_SOD-123,-240.3,-41.775,90,bottom
D_11,D,D_SOD-123,-257.96875,-41.775,90,bottom
D_12,D,D_SOD-123,-46.83125,-63.5,90,bottom
D_13,D,D_SOD-123,-73.6125,-60.825,90,bottom
D_14,D,D_SOD-123,-92.6625,-60.825,90,bottom
D_15,D,D_SOD-123,-111.7125,-60.825,90,bottom
D_16,D,D_SOD-123,-130.7625,-60.825,90,bottom
D_17,D,D_SOD-123,-149.8125,-60.825,90,bottom
D_18,D,D_SOD-123,-168.8625,-60.825,90,bottom
D_19,D,D_SOD-123,-187.9125,-60.825,90,bottom
D_20,D,D_SOD-123,-206.9625,-60.825,90,bottom
D_21,D,D_SOD-123,-226.0125,-60.825,90,bottom
D_22,D,D_SOD-123,-250.825,-60.825,90,bottom
D_23,D,D_SOD-123,-51.59375,-83.34375,90,bottom
D_24,D,D_SOD-123,-83.1375,-79.875,90,bottom
D_25,D,D_SOD-123,-102.1875,-79.875,90,bottom
D_26,D,D_SOD-123,-121.2375,-79.875,90,bottom
D_27,D,D_SOD-123,-140.2875,-79.875,90,bottom
D_28,D,D_SOD-123,-159.3375,-79.875,90,bottom
D_29,D,D_SOD-123,-178.3875,-79.875,90,bottom
D_30,D,D_SOD-123,-197.4375,-79.875,90,bottom
D_31,D,D_SOD-123,-221.25,-79.875,90,bottom
D_32,D,D_SOD-123,-240.3,-79.875,90,bottom
D_33,D,D_SOD-123,-257.96875,-79.875,90,bottom
D_34,D,D_SOD-123,-53.18125,-98.925,90,bottom
D_35,D,D_SOD-123,-78.375,-98.925,90,bottom
D_36,D,D_SOD-123,-100.80625,-98.925,90,bottom
D_37,D,D_SOD-123,-126,-98.925,90,bottom
D_38,D,D_SOD-123,-161.15,-98.89,90,bottom
D_39,D,D_SOD-123,-197.4375,-98.925,90,bottom
D_40,D,D_SOD-123,-221.25,-98.925,90,bottom
D_41,D,D_SOD-123,-240.3,-98.925,90,bottom
D_42,D,D_SOD-123,-257.96875,-98.925,90,bottom
F1,Polyfuse,Fuse_0805,-52.27,-43.09,-90,bottom
R_DATA1,22,R_0402_1005Metric,-51.54,-58.64,-90,bottom
R_DATA2,22,R_0402_1005Metric,-50.45,-58.64,90,bottom
R_HWB1,10k,R_0402_1005Metric,-55.96,-73.3,45,bottom
R_RST1,10k,R_0402_1005Metric,-56.98,-61.77,135,bottom
R_USB1,5k1,R_0402_1005Metric,-54.09,-37.69,0,bottom
R_USB2,5k1,R_0402_1005Metric,-46.28,-37.71,180,bottom
SW1,SW_Push,SKQG-1155865,-62.16,-48.83,0,bottom
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,-54.977798,-67.647736,-45,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,-50.8,-27.5875,0,bottom
Y1,Resonator_Small,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,-62.15,-62.27,135,bottom
