Comment,Designator,Footprint,LCSC
.1u,"C_DECOUP1,C_DECOUP2,C_DECOUP3",Capacitor_SMD:C_0402_1005Metric,C1525 
10u,C_DECOUP4,Capacitor_SMD:C_0402_1005Metric,C15525
1u,C_UCAP1,Capacitor_SMD:C_0402_1005Metric,C107372
PRTR5V0U2X,D1,Package_TO_SOT_SMD:SOT-143,C12333
D,"D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42",Diode_SMD:D_SOD-123,C64898
Polyfuse,F1,Components:Fuse_0805,C261942 
KEYSW,"K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_32,K_33,K_35,K_37,K_39,K_40,K_41,K_42",MX_Alps_Hybrid:MX-1U-NoLED,
KEYSW,"K_12,K_31",MX_Alps_Hybrid:MX-1.25U-NoLED,
KEYSW,"K_22,K_23",MX_Alps_Hybrid:MX-1.75U-NoLED,
KEYSW,"K_34,K_36",MX_Alps_Hybrid:MX-1.5U-NoLED,
KEYSW,K_38,MX_Alps_Hybrid:MX-2.75U-NoLED,
22,"R_DATA1,R_DATA2",Resistor_SMD:R_0402_1005Metric,C25092
10k,"R_HWB1,R_RST1",Resistor_SMD:R_0402_1005Metric,C25744 
5k1,"R_USB1,R_USB2",Resistor_SMD:R_0402_1005Metric,C25905
SW_Push,SW1,Components:SKQG-1155865,
ATmega32U4-M,U1,Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
HRO-TYPE-C-31-M-12,USB1,Components:HRO-TYPE-C-31-M-12-Assembly,C165948
Resonator_Small,Y1,Crystal:Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C341521
